"Месяц","ID заказа","Продукт","Цена за единицу (руб)","Количество","Город","Рекламная кампания","Бюджет кампании (руб)"
"Январь","8001","Солнечная панель 100Вт","5000","50","Москва","ТВ-реклама","300000"
"Январь","8002","Инвертор 1кВт","15000","20","Санкт-Петербург","Интернет-реклама","200000"
"Февраль","8003","Солнечная панель 150Вт","7500","40","Екатеринбург","Радио-реклама","150000"
"Февраль","8004","Батарея AGM 100Ач","10000","30","Новосибирск","ТВ-реклама","300000"
"Март","8005","Солнечная панель 200Вт","10000","25","Казань","Интернет-реклама","200000"
"Март","8006","Инвертор 2кВт","25000","15","Нижний Новгород","Радио-реклама","150000"
"Апрель","8007","Батарея AGM 200Ач","18000","20","Челябинск","ТВ-реклама","300000"
"Апрель","8008","Солнечная панель 150Вт","7500","35","Уфа","Интернет-реклама","200000"
"Май","8009","Инвертор 3кВт","35000","10","Самара","Радио-реклама","150000"
"Май","8010","Солнечная панель 100Вт","5000","45","Ростов-на-Дону","ТВ-реклама","300000"
"Июнь","8011","Батарея AGM 150Ач","15000","25","Москва","Интернет-реклама","200000"
"Июнь","8012","Солнечная панель 200Вт","10000","30","Санкт-Петербург","Радио-реклама","150000"