"Дата","ID продажи","Категория товара","Товар","Цена за единицу (руб)","Количество","Город"
"2023-07-05","2001","Фрукты","Яблоки «Гала»","120","50","Москва"
"2023-07-08","2002","Молочные продукты","Молоко 3.2%","60","200","Санкт-Петербург"
"2023-07-15","2003","Хлебобулочные","Батон нарезной","40","150","Екатеринбург"
"2023-08-01","2004","Мясо","Филе куриное","300","80","Новосибирск"
"2023-08-12","2005","Фрукты","Бананы","90","100","Москва"
"2023-09-05","2006","Молочные продукты","Кефир 1%","55","180","Казань"
"2023-09-18","2007","Хлебобулочные","Хлеб ржаной","35","160","Нижний Новгород"
"2023-10-10","2008","Мясо","Говядина (вырезка)","700","50","Санкт-Петербург"
"2023-10-22","2009","Фрукты","Апельсины","110","90","Челябинск"
"2023-11-05","2010","Молочные продукты","Творог 5%","80","140","Уфа"
"2023-11-18","2011","Хлебобулочные","Круассан","60","120","Москва"
"2023-12-02","2012","Мясо","Свинина (карбонат)","450","70","Самара"
"2023-12-20","2013","Фрукты","Груши «Конференция»","130","60","Ростов-на-Дону"